Date	Time	Open	High	Low	Close	TickVol	Vol	Spread
2024.12.12	21:00:00	100028.02	100109.09	99700	99760.01	0	0	0
2024.12.12	22:00:00	99760.01	100476.19	99513	100444	0	0	0
2024.12.12	23:00:00	100444	100476	99879.38	100004.29	0	0	0
2024.12.13	00:00:00	100004.29	100356.85	99939.85	100083.21	0	0	0
2024.12.13	01:00:00	100083.21	100140	99210.53	99323.94	0	0	0
2024.12.13	02:00:00	99323.94	99675.66	99205	99484.99	0	0	0
2024.12.13	03:00:00	99484.99	99793.5	99484.98	99729.09	0	0	0
2024.12.13	04:00:00	99729.09	100054.91	99652	100000.46	0	0	0
2024.12.13	05:00:00	100000.46	100172	99850.35	99890	0	0	0
2024.12.13	06:00:00	99889.99	100092	99700	99700	0	0	0
2024.12.13	07:00:00	99700	100225.52	99500	100130	0	0	0
2024.12.13	08:00:00	100130.01	100361.93	99896	100272	0	0	0
2024.12.13	09:00:00	100271.99	100340	99904.43	100100	0	0	0
2024.12.13	10:00:00	100100	100550	99913.51	100457.62	0	0	0
2024.12.13	11:00:00	100457.62	100789	100314.19	100353.37	0	0	0
2024.12.13	12:00:00	100353.37	100470.59	100142.11	100299.85	0	0	0
2024.12.13	13:00:00	100299.85	100527.91	99936.25	100284.35	0	0	0
2024.12.13	14:00:00	100284.36	101018.12	100220.92	101018.12	0	0	0
2024.12.13	15:00:00	101018.12	101375.26	99700	99873.16	0	0	0
2024.12.13	16:00:00	99873.16	101272.73	99800	100988.01	0	0	0
2024.12.13	17:00:00	100988.02	101777.75	100780.01	101737.89	0	0	0
2024.12.13	18:00:00	101737.88	101895.26	101293.14	101495.91	0	0	0
2024.12.13	19:00:00	101495.92	101617.65	101205.88	101462.34	0	0	0
2024.12.13	20:00:00	101462.34	101879.98	101227.97	101680	0	0	0
2024.12.13	21:00:00	101680.01	101691.46	101250.09	101303.64	0	0	0
2024.12.13	22:00:00	101303.63	101407.99	101090.9	101227.28	0	0	0
2024.12.13	23:00:00	101227.28	101529.42	101139.88	101424.25	0	0	0
2024.12.14	00:00:00	101424.24	101519.42	101148.35	101301.07	0	0	0
2024.12.14	01:00:00	101301.07	102650	101301.07	102145.28	0	0	0
2024.12.14	02:00:00	102145.28	102279.43	101668.45	102032.61	0	0	0
2024.12.14	03:00:00	102032.61	102344	102022.39	102088	0	0	0
2024.12.14	04:00:00	102088	102138	101590.9	101681.81	0	0	0
2024.12.14	05:00:00	101681.82	101816.71	101632	101722.8	0	0	0
2024.12.14	06:00:00	101722.79	102000	101690.37	101906.05	0	0	0
2024.12.14	07:00:00	101906.06	101923.99	101596.43	101824	0	0	0
2024.12.14	08:00:00	101824	101863.64	101578.58	101803.03	0	0	0
2024.12.14	09:00:00	101803.04	101803.04	101478.05	101551.28	0	0	0
2024.12.14	10:00:00	101551.29	101602.31	101321	101550.58	0	0	0
2024.12.14	11:00:00	101550.59	101697.5	101464.92	101583.99	0	0	0
2024.12.14	12:00:00	101584	101647.06	101241.26	101297.96	0	0	0
2024.12.14	13:00:00	101297.96	101411.63	100826.38	101170.05	0	0	0
2024.12.14	14:00:00	101170.04	101536	101163.64	101434.3	0	0	0
2024.12.14	15:00:00	101434.3	101742.43	101342.71	101625.12	0	0	0
2024.12.14	16:00:00	101625.12	101650.77	101420.01	101650.76	0	0	0
2024.12.14	17:00:00	101650.77	101737.7	100860	100988	0	0	0
2024.12.14	18:00:00	100988.01	101175.75	100831.63	100895.98	0	0	0
2024.12.14	19:00:00	100895.99	101411.77	100872.38	101313.54	0	0	0
2024.12.14	20:00:00	101313.54	101409.92	100609.41	100760	0	0	0
2024.12.14	21:00:00	100760	101187.03	100760	101074.68	0	0	0
2024.12.14	22:00:00	101074.68	101259.25	100895.53	101117.63	0	0	0
2024.12.14	23:00:00	101117.64	101499.08	101045.45	101420	0	0	0
2024.12.15	00:00:00	101420	101558.83	101237.14	101442.42	0	0	0
2024.12.15	01:00:00	101442.41	102196.97	101424.01	102134.48	0	0	0
2024.12.15	02:00:00	102134.48	102155.28	101775.88	101831.15	0	0	0
2024.12.15	03:00:00	101831.16	101931.73	101722.31	101733.82	0	0	0
2024.12.15	04:00:00	101733.83	102850	101733.82	102366.17	0	0	0
2024.12.15	05:00:00	102366.17	102511.81	102107.92	102159.29	0	0	0
2024.12.15	06:00:00	102159.29	102169.9	101759.8	101759.8	0	0	0
2024.12.15	07:00:00	101759.81	101941.18	101534.01	101732.09	0	0	0
2024.12.15	08:00:00	101732.09	102015.16	101581.07	102015.15	0	0	0
2024.12.15	09:00:00	102015.15	102270.95	101919.6	102264.34	0	0	0
2024.12.15	10:00:00	102264.34	102450.22	102147.58	102280	0	0	0
2024.12.15	11:00:00	102280.01	102691.01	102228.01	102671.44	0	0	0
2024.12.15	12:00:00	102671.44	103359.97	102533.33	102946.54	0	0	0
2024.12.15	13:00:00	102946.55	102987.43	102473.01	102784.65	0	0	0
2024.12.15	14:00:00	102784.65	103061.88	102622.99	102994.37	0	0	0
2024.12.15	15:00:00	102994.37	103039.99	102704	102704.01	0	0	0
2024.12.15	16:00:00	102704	103490	102583.65	103127.08	0	0	0
2024.12.15	17:00:00	103127.08	103368.19	102978.93	103164	0	0	0
2024.12.15	18:00:00	103164.01	103358.89	102984.58	103204	0	0	0
2024.12.15	19:00:00	103203.99	103455	103178.47	103252.95	0	0	0
2024.12.15	20:00:00	103252.96	103404.16	103066.67	103144.83	0	0	0
2024.12.15	21:00:00	103144.83	103197.67	102634.25	102859.06	0	0	0
2024.12.15	22:00:00	102859.05	103385.8	102621.5	103277.32	0	0	0
2024.12.15	23:00:00	103277.31	105250	103246.07	104463.99	0	0	0
2024.12.16	00:00:00	104463.99	106648	104324.5	105444.95	0	0	0
2024.12.16	01:00:00	105444.95	105591.58	104979.39	105531.99	0	0	0
2024.12.16	02:00:00	105532	105640	104446.28	104585.32	0	0	0
2024.12.16	03:00:00	104585.32	105000	104259.48	104582.28	0	0	0
2024.12.16	04:00:00	104582.28	104805.22	104469.89	104686.15	0	0	0
2024.12.16	05:00:00	104686.15	105064	104482.46	105028	0	0	0
2024.12.16	06:00:00	105028.01	105373.76	104956	105149.98	0	0	0
2024.12.16	07:00:00	105149.98	105420.76	104900	104992.79	0	0	0
2024.12.16	08:00:00	104992.79	105016.85	104505.22	104535.44	0	0	0
